Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body Size,Pca Body Size,Functional_variable
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.051,0.653846,0.653846,51,78,78,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.064,0.653061,0.653061,64,98,98,?a
?a  biomarker  ROS1_Positive  ?a  drug  Nivolumab   ,?a  sex  female,0.071,0.63964,0.63964,71,111,111,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.053,0.638554,0.638554,53,83,83,?a
?a  biomarker  ROS1_Positive  ?a  drug  Vinorelbine   ,?a  sex  female,0.071,0.633929,0.633929,71,112,112,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.056,0.629213,0.629213,56,89,89,?a
?a  drug  Afatinib  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.046,0.621622,0.621622,46,74,74,?a
?a  biomarker  ALK_Positive  ?a  biomarker  EGFR_Positive   ,?a  ageCategory  young,0.045,0.608108,0.608108,45,74,74,?a
?a  biomarker  ALK_Positive  ?a  biomarker  EGFR_Positive   ,?a  sex  female,0.045,0.608108,0.608108,45,74,74,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.044,0.60274,0.60274,44,73,73,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.059,0.602041,0.602041,59,98,98,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Cardiopathy   ,?a  hasRelapse  No,0.079,0.598485,0.598485,79,132,132,?a
?a  ageCategory  young  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.057714,0.409449,0.597701,52,127,87,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.083,0.597122,0.597122,83,139,139,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.037736,0.382022,0.596491,34,89,57,?a
?a  biomarker  ALK_Positive  ?a  drug  Cisplatin   ,?a  ageCategory  young,0.059,0.59596,0.59596,59,99,99,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.053,0.595506,0.595506,53,89,89,?a
?a  biomarker  EGFR_Positive  ?a  biomarker  ROS1_Positive   ,?a  hasRelapse  Yes,0.053,0.595506,0.595506,53,89,89,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Cardiopathy   ,?a  ageCategory  young,0.072,0.595041,0.595041,72,121,121,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  sex  female,0.051,0.593023,0.593023,51,86,86,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.045,0.592105,0.592105,45,76,76,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.058,0.591837,0.591837,58,98,98,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.046615,0.428571,0.591549,42,98,71,?a
?a  drug  Carboplatin  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.055,0.591398,0.591398,55,93,93,?a
?a  drug  Afatinib  ?a  drug  Carboplatin   ,?a  sex  female,0.052,0.590909,0.590909,52,88,88,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.049,0.590361,0.590361,49,83,83,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.046,0.589744,0.589744,46,78,78,?a
?a  ageCategory  old  ?a  biomarker  ROS1_Positive   ,?a  sex  female,0.092,0.589744,0.589744,92,156,156,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.046,0.589744,0.589744,46,78,78,?a
?a  biomarker  ALK_Positive  ?a  sex  male   ,?a  ageCategory  young,0.079,0.589552,0.589552,79,134,134,?a
?a  biomarker  ROS1_Positive  ?a  drug  Afatinib   ,?a  sex  female,0.063,0.588785,0.588785,63,107,107,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Others   ,?a  ageCategory  young,0.077,0.587786,0.587786,77,131,131,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  young,0.062,0.584906,0.584906,62,106,106,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.052,0.58427,0.58427,52,89,89,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.052,0.58427,0.58427,52,89,89,?a
?a  biomarker  EGFR_Positive  ?a  biomarker  ROS1_Positive   ,?a  sex  female,0.052,0.58427,0.58427,52,89,89,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.042,0.583333,0.583333,42,72,72,?a
?a  comorbidity  Depression  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.081,0.582734,0.582734,81,139,139,?a
?a  comorbidity  Cardiopathy  ?a  drug  Cisplatin   ,?a  ageCategory  young,0.078,0.58209,0.58209,78,134,134,?a
?a  biomarker  EGFR_Positive  ?a  drug  Afatinib   ,?a  sex  female,0.061,0.580952,0.580952,61,105,105,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.061,0.580952,0.580952,61,105,105,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.054,0.580645,0.580645,54,93,93,?a
?a  drug  Nivolumab  ?a  hasRelapse  Yes   ,?a  sex  female,0.094,0.580247,0.580247,94,162,162,?a
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.087,0.58,0.58,87,150,150,?a
?a  drug  Cisplatin  ?a  hasRelapse  No   ,?a  ageCategory  young,0.098,0.579882,0.579882,98,169,169,?a
?a  drug  Afatinib  ?a  sex  male   ,?a  comorbidity  Depression,0.052907,0.579618,0.579618,91,157,157,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.062,0.579439,0.579439,62,107,107,?a
?a  drug  Carboplatin  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.055,0.578947,0.578947,55,95,95,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.044,0.578947,0.578947,44,76,76,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  ageCategory  old,0.055,0.578947,0.578947,55,95,95,?a
?a  drug  Vinorelbine  ?a  hasRelapse  Yes   ,?a  sex  female,0.096,0.578313,0.578313,96,166,166,?a
?a  comorbidity  Depression  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.067,0.577586,0.577586,67,116,116,?a
?a  comorbidity  Others  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.06,0.576923,0.576923,60,104,104,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Cardiopathy   ,?a  sex  female,0.076,0.575758,0.575758,76,132,132,?a
?a  biomarker  ALK_Positive  ?a  biomarker  ROS1_Positive   ,?a  ageCategory  young,0.042,0.575342,0.575342,42,73,73,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.042,0.575342,0.575342,42,73,73,?a
?a  biomarker  ALK_Positive  ?a  biomarker  ROS1_Positive   ,?a  sex  female,0.042,0.575342,0.575342,42,73,73,?a
?a  comorbidity  Others  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.069,0.575,0.575,69,120,120,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.05,0.574713,0.574713,50,87,87,?a
?a  comorbidity  Cardiopathy  ?a  drug  Cisplatin   ,?a  sex  female,0.077,0.574627,0.574627,77,134,134,?a
?a  drug  Carboplatin  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.038846,0.376344,0.57377,35,93,61,?a
